sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Cul4b_ENSMUST00000016681_38564877_38564895	ENSMUST00000016681_Cul4b	705.1667501751568	704.1274608610107	827.1770821066011	725.4629829591458	712.7757994694821	671.5813772905925	800.336269954187
Slc9a6_ENSMUST00000114784_56609789_56609807	ENSMUST00000114784_Slc9a6	660.2684926733679	574.2570257963074	629.3196494017055	526.0619842910454	718.4477554334302	607.6212461200599	731.9117473548376
Thoc2_ENSMUST00000123512_41859346_41859328	ENSMUST00000123512_Thoc2	694.602454292383	771.2713592618097	729.0796995050142	920.0005426353414	798.8004649226954	749.3707260115106	728.0676730515033
8030474K03Rik_ENSMUST00000163399_101794602_101794584	ENSMUST00000163399_8030474K03Rik	1241.3047662259316	1252.763788583329	1376.6886914256597	1384.4589663622583	1502.123004452264	1464.1684081470576	1385.4043789216569
Rpl36a_ENSMUST00000113211_134585439_134585457	ENSMUST00000113211_Rpl36a	1508.0532372659723	1469.214513691168	1669.3181717286986	1536.8467214419447	1601.3822338213563	1452.9321688873695	1636.0380234990487
3830417A13Rik_ENSMUST00000033522_64173444_64173462	ENSMUST00000033522_3830417A13Rik	1199.047582694836	1420.6235345853265	1439.8700564910887	1236.9346502744766	1158.0243426394106	1325.8762326432031	1403.8559355776613
Zmat1_ENSMUST00000113185_135009355_135009373	ENSMUST00000113185_Zmat1	726.2953419407046	607.8289749967068	828.0084158574621	697.0929221730339	733.5729713372918	802.9589440192541	737.2934513795055
Bgn_ENSMUST00000155231_73491940_73491958	ENSMUST00000155231_Bgn	993.0438129807452	867.5698451261136	912.8044584452745	927.2957011231987	990.7016417029406	901.4921190657503	915.6584990542138
Arhgap4_ENSMUST00000114405_73911376_73911358	ENSMUST00000114405_Arhgap4	810.8097090028957	916.160824231955	803.8997370824958	828.405774954466	779.8939450428683	675.0386816781888	774.965379552181
Gm9112_ENSMUST00000113610_102707711_102707729	ENSMUST00000113610_Gm9112	1729.9034508042237	1740.4405243365009	1902.0916219697522	2255.8251190785504	2205.4455439818325	1554.922648321462	1596.0596507443727
Ube2dnl2_ENSMUST00000062695_114907276_114907294	ENSMUST00000062695_Ube2dnl2	1402.4102784382333	1615.870923356071	1632.7394866908187	1640.6000866025822	1777.2128687037484	1510.8420173796085	1537.6297213336925
Magea6_ENSMUST00000112562_154936489_154936507	ENSMUST00000112562_Magea6	1167.3546950465143	1226.259618161961	1069.9265373579856	895.6833476758169	1044.5852233604478	996.5679897246501	959.480946112224
Cldn34b4_ENSMUST00000101419_76393281_76393263	ENSMUST00000101419_Cldn34b4	1283.5619497570272	1344.6449127107383	1370.8693551696335	978.3618105382	1212.853250290909	1462.4397559532595	1523.0222389810224
Ubqln2_ENSMUST00000060714_153498081_153498099	ENSMUST00000060714_Ubqln2	1196.4065087241424	1425.9243686696002	1437.3760552385058	1224.7760527947144	1264.8461799604338	1141.774774003697	1217.8027392962845
Gm14817_ENSMUST00000148522_73795028_73795010	ENSMUST00000148522_Gm14817	731.5774898820915	561.0049405856233	537.041603056145	804.899153160259	673.0721077218451	642.1942899960235	637.3475194928155
Gm14586_ENSMUST00000119571_52772942_52772924	ENSMUST00000119571_Gm14586	422.5718353109554	500.0453486164769	429.7995491950882	415.01346064255046	303.4496440712251	383.76078702319575	375.9504668660878
